"","s1","s2"
"1",-991,2582
"2",-1109,2554
"3",-983,2394
"4",-1051,2666
"5",-1061,2686
"6",-1057,2670
"7",-1017,2546
"8",-1063,2674
"9",-1077,2758
"10",-1113,2830
"11",-1061,2530
"12",-1117,2706
"13",-973,2294
"14",-1027,2442
"15",-1077,2634
"16",-1081,2858
"17",-1039,2830
"18",-1087,2558
"19",-1079,2722
"20",-1047,2414
"21",-965,2518
"22",-1141,2986
"23",-1061,2570
"24",-1035,2546
"25",-997,2438
"26",-1039,2618
"27",-963,2142
"28",-1005,2622
"29",-1123,2730
"30",-1123,2882
"31",-997,2486
"32",-1145,2882
"33",-985,2470
"34",-989,2550
"35",-1071,2606
"36",-1039,2398
"37",-1113,2766
"38",-1037,2630
"39",-1109,2826
"40",-983,2290
"41",-1091,2726
"42",-999,2542
"43",-897,2222
"44",-1097,2706
"45",-1087,2650
"46",-1073,2598
"47",-1041,2586
"48",-1057,2542
"49",-1037,2722
"50",-1087,2578
"51",-1017,2366
"52",-1039,2582
"53",-1053,2534
"54",-1025,2658
"55",-1093,2666
"56",-1109,2938
"57",-985,2302
"58",-1111,2550
"59",-1177,3030
"60",-1029,2706
"61",-1059,2454
"62",-991,2602
"63",-1039,2590
"64",-1047,2662
"65",-1125,2598
"66",-1131,2962
"67",-1051,2530
"68",-1093,2938
"69",-989,2370
"70",-989,2186
"71",-1049,2426
"72",-1131,2882
"73",-1001,2566
"74",-1093,2770
"75",-963,2254
"76",-1161,2878
"77",-1107,2718
"78",-1139,2898
"79",-987,2466
"80",-1093,2670
"81",-965,2278
"82",-1055,2490
"83",-993,2230
"84",-1023,2506
"85",-1015,2514
"86",-957,2238
"87",-1155,2766
"88",-1065,2554
"89",-1065,2738
"90",-925,2234
"91",-1059,2694
"92",-1077,2766
"93",-1077,2698
"94",-1101,2826
"95",-933,2266
"96",-1127,2582
"97",-1033,2570
"98",-1031,2598
"99",-1081,2662
"100",-965,2166
"101",-1037,2470
"102",-1063,2510
"103",-1175,2886
"104",-983,2386
"105",-953,2234
"106",-1139,2666
"107",-1011,2298
"108",-953,2334
"109",-1035,2554
"110",-1031,2458
"111",-1049,2802
"112",-1037,2418
"113",-1021,2366
"114",-1129,2862
"115",-1043,2610
"116",-1087,2762
"117",-1131,2698
"118",-1055,2458
"119",-1029,2602
"120",-1057,2802
"121",-1059,2466
"122",-1071,2542
"123",-1163,2962
"124",-1045,2558
"125",-1213,3130
"126",-1025,2330
"127",-1083,2474
"128",-1029,2462
"129",-1103,2762
"130",-1049,2718
"131",-1215,2950
"132",-1061,2442
"133",-1067,2470
"134",-1073,2686
"135",-1113,2690
"136",-1039,2442
"137",-1131,2790
"138",-1083,2750
"139",-1015,2546
"140",-979,2418
"141",-995,2506
"142",-1017,2482
"143",-1027,2574
"144",-1089,2538
"145",-1045,2622
"146",-1025,2646
"147",-1161,2926
"148",-1127,2846
"149",-1119,2590
"150",-1047,2650
"151",-997,2506
"152",-1177,2630
"153",-1125,2870
"154",-1061,2570
"155",-1033,2554
"156",-1085,2706
"157",-1115,2790
"158",-977,2374
"159",-1081,2738
"160",-999,2274
"161",-1075,2510
"162",-1043,2386
"163",-1061,2654
"164",-1183,2990
"165",-1089,2618
"166",-1133,2890
"167",-1099,2550
"168",-1023,2534
"169",-1075,2610
"170",-1119,2850
"171",-1033,2494
"172",-983,2438
"173",-1045,2498
"174",-1083,2738
"175",-951,2154
"176",-1105,2822
"177",-1177,3046
"178",-1037,2622
"179",-1023,2366
"180",-1057,2682
"181",-1095,2730
"182",-997,2606
"183",-1125,2746
"184",-1033,2450
"185",-1017,2422
"186",-1081,2650
"187",-1041,2342
"188",-1175,3078
"189",-1067,2670
"190",-1141,2994
"191",-999,2474
"192",-1047,2774
"193",-1003,2294
"194",-1055,2618
"195",-1067,2562
"196",-1143,2954
"197",-1059,2646
"198",-1039,2750
"199",-1225,3186
"200",-1087,2550
"201",-1007,2502
"202",-997,2414
"203",-1023,2450
"204",-1081,2698
"205",-1051,2386
"206",-1051,2702
"207",-1023,2314
"208",-955,2530
"209",-1077,2506
"210",-1073,2578
"211",-1227,3210
"212",-1035,2554
"213",-1091,2870
"214",-997,2374
"215",-985,2390
"216",-1107,2566
"217",-1047,2734
"218",-1063,2578
"219",-1057,2538
"220",-1053,2850
"221",-1063,2754
"222",-1151,3002
"223",-1087,2658
"224",-1057,2598
"225",-1041,2238
"226",-1125,2674
"227",-1029,2422
"228",-997,2498
"229",-1109,2630
"230",-1127,3002
"231",-1023,2406
"232",-1021,2518
"233",-1153,2698
"234",-1035,2674
"235",-1083,2838
"236",-963,2414
"237",-1021,2622
"238",-997,2502
"239",-1089,2650
"240",-1017,2466
"241",-1065,2654
"242",-1015,2254
"243",-973,2478
"244",-1145,2718
"245",-1113,2894
"246",-1027,2794
"247",-1059,2606
"248",-1013,2366
"249",-1111,2734
"250",-1077,2610
"251",-1081,2506
"252",-1055,2654
"253",-1015,2614
"254",-1053,2630
"255",-1011,2366
"256",-1069,2690
"257",-1031,2562
"258",-1091,2734
"259",-1045,2786
"260",-1065,2642
"261",-983,2322
"262",-1035,2678
"263",-1103,2718
"264",-1055,2766
"265",-1015,2594
"266",-1083,2706
"267",-1071,2642
"268",-1033,2486
"269",-1067,2822
"270",-967,2350
"271",-1091,2646
"272",-1071,2706
"273",-1091,2690
"274",-1069,2726
"275",-1093,2690
"276",-1115,2890
"277",-1037,2582
"278",-1099,2858
"279",-1025,2398
"280",-1163,2818
