"","s1","s2"
"1",-1057,2410
"2",-1115,2990
"3",-1045,2722
"4",-1033,2570
"5",-1101,2902
"6",-1157,2762
"7",-1063,2314
"8",-965,2474
"9",-1091,2650
"10",-1063,2542
"11",-995,2354
"12",-1083,2746
"13",-1017,2306
"14",-1027,2554
"15",-1033,2370
"16",-993,2382
"17",-1005,2354
"18",-1085,2818
"19",-1091,2802
"20",-1059,2754
"21",-1095,2574
"22",-1037,2682
"23",-1075,2606
"24",-1147,2838
"25",-1085,2690
"26",-955,2318
"27",-1027,2338
"28",-993,2694
"29",-1041,2550
"30",-1083,2606
"31",-1007,2490
"32",-1033,2294
"33",-1143,2814
"34",-1069,2658
"35",-1103,2662
"36",-1079,2714
"37",-1079,2730
"38",-1049,2478
"39",-971,2174
"40",-1053,2722
"41",-1011,2278
"42",-1157,2946
"43",-985,2650
"44",-1087,2494
"45",-1017,2602
"46",-1027,2290
"47",-1025,2394
"48",-1077,2590
"49",-1135,2890
"50",-1057,2630
"51",-1059,2582
"52",-1059,2574
"53",-1145,2866
"54",-1067,2726
"55",-1107,2922
"56",-1089,2718
"57",-1033,2286
"58",-1071,2538
"59",-1111,2922
"60",-991,2514
"61",-1045,2578
"62",-1095,2842
"63",-1071,2514
"64",-1033,2458
"65",-941,2330
"66",-1071,2790
"67",-1057,2582
"68",-1089,2526
"69",-1147,2874
"70",-1071,2778
"71",-1033,2390
"72",-1035,2494
"73",-1053,2470
"74",-1057,2626
"75",-1023,2674
"76",-1065,2594
"77",-1051,2590
"78",-949,2506
"79",-1053,2570
"80",-1035,2714
"81",-1109,2686
"82",-1077,2642
"83",-1101,2714
"84",-1073,2542
"85",-981,2462
"86",-1061,2470
"87",-1105,2762
"88",-1075,2698
"89",-1039,2286
"90",-1075,2578
"91",-1063,2570
"92",-1023,2358
"93",-1063,2642
"94",-1181,2858
"95",-1041,2514
"96",-1033,2790
"97",-1095,2662
"98",-983,2494
"99",-995,2358
"100",-1059,2738
"101",-1003,2426
"102",-1007,2522
"103",-1095,2678
"104",-1067,2542
"105",-1029,2322
"106",-1083,2490
"107",-1065,2706
"108",-1065,2454
"109",-1097,2934
"110",-1079,2586
"111",-1059,2746
"112",-1091,2814
"113",-1069,2682
"114",-991,2406
"115",-1049,2590
"116",-1049,2426
"117",-1015,2570
"118",-1071,2838
"119",-1099,2698
"120",-1033,2562
"121",-1015,2462
"122",-1045,2366
"123",-1069,2674
"124",-1093,2674
"125",-981,2430
"126",-1015,2598
"127",-1025,2338
"128",-1121,2662
"129",-1093,2614
"130",-1019,2438
"131",-1147,2922
"132",-1139,2918
"133",-1025,2466
"134",-1075,2638
"135",-1079,2442
"136",-1023,2490
"137",-1057,2514
"138",-1029,2670
"139",-1087,2618
"140",-1033,2462
"141",-907,2294
"142",-1081,2906
"143",-1053,2498
"144",-1069,2666
"145",-1049,2562
"146",-999,2626
"147",-1073,2698
