"","s1","s2"
"1",-1157,2862
"2",-1029,2522
"3",-1083,2462
"4",-1037,2590
"5",-1109,2830
"6",-1091,2886
"7",-1061,2442
"8",-997,2254
"9",-1039,2738
"10",-1161,2954
"11",-1051,2594
"12",-1067,2606
"13",-989,2174
"14",-1063,2622
"15",-1049,2446
"16",-1065,2502
"17",-989,2346
"18",-1019,2502
"19",-1035,2706
"20",-1053,2490
"21",-893,1858
"22",-985,2350
"23",-1053,2402
"24",-1075,2562
"25",-1049,2474
"26",-1053,2482
"27",-995,2486
"28",-1043,2682
"29",-1009,2558
"30",-1051,2562
"31",-1055,2486
"32",-1037,2362
"33",-1037,2434
"34",-1049,2602
"35",-1057,2366
"36",-1011,2334
"37",-1035,2530
"38",-1017,2630
"39",-1099,2574
"40",-975,2374
"41",-1003,2302
"42",-949,2346
"43",-1099,2454
"44",-1079,2562
"45",-1099,2914
"46",-1049,2614
"47",-1091,2686
"48",-1029,2570
"49",-999,2214
"50",-1043,2454
"51",-1073,2474
"52",-1085,2746
"53",-1019,2438
"54",-1027,2334
"55",-1055,2434
"56",-999,2290
"57",-1029,2378
"58",-1055,2546
"59",-1039,2346
"60",-1021,2366
"61",-997,2166
"62",-1091,2554
"63",-1059,2670
"64",-993,2590
"65",-1011,2194
"66",-1039,2374
"67",-1121,2670
"68",-1101,2842
"69",-1099,2654
"70",-1067,2470
"71",-1061,2410
"72",-1063,2766
"73",-1031,2434
"74",-1051,2570
"75",-991,2274
"76",-961,2398
"77",-1127,2830
"78",-949,2442
"79",-1119,2798
"80",-1073,2870
"81",-977,2302
"82",-969,2202
"83",-1107,2486
"84",-1041,2406
"85",-1043,2538
"86",-1055,2438
"87",-1035,2622
"88",-1119,2522
"89",-1197,2918
"90",-1109,2894
"91",-1129,2810
"92",-1085,2538
"93",-1023,2566
"94",-1125,2858
"95",-1055,2346
"96",-1019,2274
"97",-1043,2474
"98",-1109,2782
"99",-1017,2218
"100",-1105,2482
"101",-1051,2362
"102",-1045,2242
"103",-1079,2566
"104",-1009,2130
"105",-1089,2394
"106",-1053,2470
"107",-1047,2514
"108",-1069,2406
"109",-1067,2546
"110",-983,2506
"111",-1085,2442
"112",-985,2278
"113",-983,2414
"114",-1045,2262
"115",-1123,2502
"116",-965,2350
"117",-1019,2322
"118",-1003,2366
"119",-1037,2462
"120",-1081,2394
"121",-1129,2922
"122",-1047,2450
"123",-1049,2414
"124",-921,2202
"125",-1111,2814
"126",-1079,2486
"127",-1075,2538
"128",-1035,2358
"129",-1033,2422
"130",-1129,2718
"131",-1097,2502
"132",-997,2398
"133",-1067,2470
"134",-963,1986
"135",-983,2406
"136",-1023,2458
"137",-997,2434
"138",-1115,2566
"139",-1073,2782
"140",-1091,2806
"141",-1059,2598
"142",-1127,2730
"143",-1101,2730
"144",-1079,2542
"145",-1021,2462
"146",-1093,2662
"147",-1079,2542
"148",-1079,2646
"149",-937,2410
"150",-1099,2706
"151",-1063,2638
"152",-1049,2622
"153",-1073,2566
"154",-1051,2474
"155",-1069,2314
"156",-1029,2530
"157",-1173,2790
"158",-1023,2446
"159",-1095,2538
"160",-1173,2930
"161",-995,2442
"162",-905,2026
"163",-1049,2570
"164",-1043,2310
"165",-1151,3054
"166",-1129,2626
"167",-989,2346
"168",-1021,2350
"169",-1107,2594
"170",-1017,2454
"171",-1027,2330
"172",-1013,2342
"173",-975,2370
"174",-1067,2490
"175",-1229,3054
"176",-1025,2538
"177",-1037,2598
"178",-981,2206
"179",-1069,2486
"180",-1059,2578
"181",-1225,2978
"182",-1139,2678
"183",-1041,2378
"184",-1085,2650
"185",-1135,2854
"186",-1175,2794
"187",-1055,2366
"188",-1027,2514
"189",-1087,2434
"190",-1079,2550
"191",-1089,2534
"192",-1121,2750
"193",-1151,2906
"194",-1035,2402
"195",-1091,2642
"196",-985,2542
"197",-1047,2350
"198",-1041,2414
